;A;B;C;D;E
0;1500;14800;20500;7000;7900
103;5352;11232;16932;12072;12972
105;6302;12182;17882;13022;13922
108;7252;13132;18832;13972;14872
109;7380;13260;18960;14100;15000
110;9786;15666;21366;16506;17406
113;9062;14942;20642;15782;16682
129;7570;8743;14443;14290;15190
134;9225;10398;16098;15945;16845
73;10025;11198;16898;16745;17645
74;10236;11409;17109;16956;17856
75;10427;11600;17300;17147;18047
76;13025;7362;13062;19745;20645
77;9640;6613;12313;16360;17260
78;9510;6483;12183;16230;17130
79;10489;5772;11472;17209;18109
81;10149;5432;11132;16869;17769
84;9897;5180;10880;16617;17517
98;15397;5680;11380;22117;23017
